Date,Close,Open,High,Low,7 Days SMA,7 Days STD,7 Days SMA +2STD,7 Days SMA -2STD,Cumulative Change Sum,14 Days EMA,MACD,ATR
2013-01-21,93.25,93.25,93.25,93.25,93.38,0.17,93.72,93.04,-1.67,93.68,-0.42,0.271
2013-01-22,93.25,93.25,93.25,93.25,93.32,0.13,93.58,93.06,-1.67,93.62,-0.41,0.252
2013-01-23,93.15,93.15,93.15,93.15,93.26,0.06,93.38,93.14,-1.78,93.56,-0.42,0.241
2013-01-24,93.15,93.15,93.15,93.15,93.24,0.07,93.38,93.1,-1.78,93.5,-0.42,0.224
2013-01-25,93.25,93.25,93.25,93.25,93.24,0.07,93.38,93.1,-1.67,93.47,-0.4,0.215
2013-01-28,95.35,95.35,95.35,95.35,93.52,0.81,95.14,91.9,0.58,93.72,-0.22,0.35
2013-01-29,95.35,95.35,95.35,95.35,93.82,1.05,95.92,91.72,0.58,93.94,-0.06,0.325
2013-01-30,95.45,95.45,95.45,95.45,94.14,1.17,96.48,91.8,0.68,94.14,0.06,0.309
2013-01-31,95.2,95.2,95.2,95.2,94.41,1.15,96.71,92.11,0.42,94.28,0.13,0.305
2013-02-01,95.4,95.4,95.4,95.4,94.74,1.05,96.84,92.64,0.63,94.43,0.21,0.297
2013-02-04,95.6,95.6,95.6,95.6,95.09,0.82,96.73,93.45,0.84,94.59,0.28,0.29
2013-02-05,96.15,96.15,96.15,96.15,95.5,0.31,96.12,94.88,1.42,94.79,0.38,0.309
2013-02-06,96.3,96.3,96.3,96.3,95.64,0.42,96.48,94.8,1.58,95.0,0.47,0.297
2013-02-07,95.7,95.7,95.7,95.7,95.69,0.4,96.49,94.89,0.96,95.09,0.48,0.319
2013-02-08,96.0,96.0,96.0,96.0,95.76,0.4,96.56,94.96,1.27,95.21,0.5,0.318
2013-02-11,95.4,95.4,95.4,95.4,95.79,0.36,96.51,95.07,0.65,95.24,0.47,0.338
2013-02-12,95.55,95.55,95.55,95.55,95.81,0.34,96.49,95.13,0.81,95.28,0.45,0.324
2013-02-13,95.1,95.1,95.1,95.1,95.74,0.43,96.6,94.88,0.34,95.25,0.4,0.333
2013-02-14,95.1,95.1,95.1,95.1,95.59,0.45,96.49,94.69,0.34,95.23,0.35,0.31
2013-02-15,94.85,94.85,94.85,94.85,95.39,0.4,96.19,94.59,0.08,95.18,0.29,0.305
2013-02-18,94.65,94.65,94.65,94.65,95.24,0.45,96.14,94.34,-0.13,95.11,0.22,0.298
2013-02-19,94.9,94.9,94.9,94.9,95.08,0.31,95.7,94.46,0.13,95.08,0.18,0.294
2013-02-20,94.9,94.9,94.9,94.9,95.01,0.28,95.57,94.45,0.13,95.06,0.16,0.273
2013-02-21,95.25,95.25,95.25,95.25,94.96,0.2,95.36,94.56,0.5,95.08,0.16,0.279
2013-02-22,94.5,94.5,94.5,94.5,94.88,0.25,95.38,94.38,-0.29,95.01,0.1,0.312
2013-02-25,93.35,93.35,93.35,93.35,94.63,0.61,95.85,93.41,-1.51,94.79,-0.04,0.372
2013-02-26,92.75,92.75,92.75,92.75,94.33,0.92,96.17,92.49,-2.15,94.51,-0.2,0.389
2013-02-27,93.55,93.55,93.55,93.55,94.17,0.95,96.07,92.27,-1.29,94.39,-0.25,0.418
2013-02-28,94.25,94.25,94.25,94.25,94.08,0.9,95.88,92.28,-0.54,94.37,-0.24,0.438
2013-03-01,94.05,94.05,94.05,94.05,93.96,0.82,95.6,92.32,-0.75,94.33,-0.24,0.421
