Date,Close,Open,High,Low,7 Days SMA,7 Days STD,7 Days SMA +2STD,7 Days SMA -2STD,Cumulative Change Sum,14 Days EMA,MACD,ATR
2013-01-22,3.558,3.572,3.645,3.505,3.46,0.09,3.64,3.28,9.89,3.38,0.07,0.128
2013-01-23,3.554,3.573,3.596,3.512,3.49,0.07,3.63,3.35,9.78,3.41,0.08,0.125
2013-01-24,3.446,3.57,3.592,3.441,3.5,0.06,3.62,3.38,6.74,3.41,0.08,0.127
2013-01-25,3.444,3.452,3.48,3.411,3.5,0.06,3.62,3.38,6.68,3.42,0.07,0.123
2013-01-28,3.289,3.392,3.396,3.267,3.48,0.1,3.68,3.28,2.18,3.4,0.06,0.127
2013-01-29,3.226,3.273,3.275,3.207,3.44,0.14,3.72,3.16,0.26,3.38,0.04,0.123
2013-01-30,3.335,3.262,3.344,3.261,3.41,0.13,3.67,3.15,3.64,3.37,0.03,0.123
2013-01-31,3.339,3.335,3.395,3.243,3.38,0.11,3.6,3.16,3.76,3.37,0.03,0.125
2013-02-01,3.301,3.328,3.387,3.278,3.34,0.08,3.5,3.18,2.62,3.36,0.02,0.124
2013-02-04,3.315,3.313,3.354,3.259,3.32,0.07,3.46,3.18,3.04,3.35,0.01,0.122
2013-02-05,3.399,3.33,3.427,3.318,3.31,0.05,3.41,3.21,5.57,3.36,0.02,0.121
2013-02-06,3.418,3.424,3.459,3.398,3.33,0.06,3.45,3.21,6.13,3.37,0.02,0.117
2013-02-07,3.285,3.439,3.453,3.282,3.34,0.05,3.44,3.24,2.24,3.36,0.01,0.121
2013-02-08,3.272,3.295,3.327,3.256,3.33,0.06,3.45,3.21,1.84,3.34,0.0,0.117
2013-02-11,3.279,3.26,3.295,3.207,3.32,0.06,3.44,3.2,2.05,3.34,0.0,0.115
2013-02-12,3.23,3.28,3.314,3.223,3.31,0.07,3.45,3.17,0.56,3.32,-0.01,0.113
2013-02-13,3.306,3.241,3.323,3.23,3.31,0.07,3.45,3.17,2.91,3.32,0.0,0.112
2013-02-14,3.163,3.297,3.309,3.135,3.28,0.08,3.44,3.12,-1.42,3.3,-0.02,0.116
2013-02-15,3.153,3.17,3.194,3.125,3.24,0.06,3.36,3.12,-1.74,3.28,-0.03,0.113
2013-02-19,3.272,3.166,3.279,3.135,3.24,0.06,3.36,3.12,2.03,3.28,-0.03,0.115
2013-02-20,3.279,3.271,3.313,3.257,3.24,0.06,3.36,3.12,2.24,3.28,-0.03,0.111
2013-02-21,3.246,3.268,3.337,3.231,3.24,0.06,3.36,3.12,1.23,3.27,-0.02,0.111
2013-02-22,3.291,3.241,3.294,3.231,3.24,0.06,3.36,3.12,2.62,3.28,-0.02,0.107
2013-02-25,3.414,3.32,3.425,3.32,3.26,0.09,3.44,3.08,6.36,3.29,-0.01,0.109
2013-02-26,3.427,3.416,3.455,3.386,3.3,0.1,3.5,3.1,6.74,3.31,0.0,0.106
2013-02-27,3.434,3.449,3.554,3.406,3.34,0.08,3.5,3.18,6.94,3.33,0.01,0.109
2013-02-28,3.486,3.418,3.508,3.395,3.37,0.09,3.55,3.19,8.45,3.35,0.03,0.11
2013-03-01,3.456,3.491,3.52,3.44,3.39,0.09,3.57,3.21,7.59,3.36,0.03,0.107
2013-03-04,3.529,3.469,3.54,3.408,3.43,0.07,3.57,3.29,9.7,3.39,0.04,0.109
2013-03-05,3.529,3.535,3.594,3.511,3.47,0.05,3.57,3.37,9.7,3.4,0.05,0.107
2013-03-06,3.47,3.523,3.55,3.462,3.48,0.04,3.56,3.4,8.03,3.41,0.04,0.106
2013-03-07,3.582,3.472,3.603,3.463,3.5,0.05,3.6,3.4,11.26,3.44,0.06,0.108
2013-03-08,3.629,3.585,3.635,3.565,3.53,0.06,3.65,3.41,12.57,3.46,0.07,0.106
2013-03-11,3.649,3.636,3.652,3.59,3.55,0.07,3.69,3.41,13.12,3.49,0.07,0.102
2013-03-12,3.645,3.64,3.676,3.62,3.58,0.07,3.72,3.44,13.01,3.51,0.08,0.099
